Centroid Mass	Relative Intensity
504.498444	41.6052
504.513790	43.6598
504.529137	51.3644
504.544484	51.3644
504.559831	38.7801
504.575179	29.5345
504.590527	32.8732
504.605875	37.7528
504.621223	35.6983
504.636571	42.6325
504.651920	41.3484
504.667269	41.0915
504.682618	42.6325
504.697967	39.037
504.713317	38.5233
504.728667	38.7801
504.744017	45.7143
504.759367	36.9824
504.774718	25.4254
504.790068	18.4912
504.805419	17.7207
504.820771	23.8845
504.836122	35.6983
504.851474	47.5121
504.866826	47.5121
504.882178	37.2392
504.897530	26.4527
504.912883	24.6549
504.928236	24.6549
504.943589	27.2231
504.958942	27.48
504.974296	26.1958
504.989649	24.9117
505.005003	34.1573
505.020358	35.9551
505.035712	29.5345
505.051067	22.0867
505.066422	22.0867
505.081777	19.7753
505.097133	24.6549
505.112488	28.2504
505.127844	36.7255
505.143200	27.2231
505.158557	21.3162
505.173913	25.6822
505.189270	36.7255
505.204627	38.2665
505.219984	34.4142
505.235342	25.1686
505.250700	32.6164
505.266058	43.9166
505.281416	47.2552
505.296774	42.6325
505.312133	30.8186
505.327492	28.2504
505.342851	30.8186
505.358211	38.5233
505.373570	39.5506
505.388930	39.0369
505.404290	41.0915
505.419651	44.4302
505.435011	56.244
505.450372	74.2215
505.465733	101.701
505.481094	128.925
505.496456	160.771
505.511817	164.109
505.527179	146.645
505.542542	146.389
505.557904	165.137
505.573267	155.634
505.588630	122.761
505.603993	118.652
505.619356	124.045
505.634720	126.613
505.650083	117.368
505.665448	107.095
505.680812	104.783
505.696176	100.674
505.711541	89.374
505.726906	87.0626
505.742271	84.7512
505.757637	73.4511
505.773003	62.1509
505.788368	60.61
505.803735	63.435
505.819101	55.7304
505.834468	49.3098
505.849835	54.9599
505.865202	52.3917
505.880569	41.6052
505.895937	38.0096
505.911304	36.7255
505.926672	39.5506
505.942041	30.305
505.957409	20.8026
505.972778	23.114
505.988147	36.7255
506.003516	41.3483
506.018885	33.9005
506.034255	32.3596
506.049625	38.0096
506.064995	36.7255
506.080366	43.1461
506.095736	42.8893
506.111107	32.8732
506.126478	31.8459
506.141849	27.7368
506.157221	32.1027
506.172593	39.8074
506.187965	34.1573
506.203337	41.3483
506.218709	49.8235
506.234082	49.053
506.249455	44.1734
506.264828	41.862
506.280201	34.9278
506.295575	42.1188
506.310949	48.0257
506.326323	46.4848
506.341697	41.6052
506.357072	34.4141
506.372447	38.0096
506.387822	46.9984
506.403197	46.2279
506.418573	45.7143
506.433948	44.1734
506.449324	47.7689
506.464700	46.7416
506.480077	50.0803
506.495454	54.1894
506.510830	64.2055
506.526208	82.4398
506.541585	95.5378
506.556963	97.5923
506.572340	96.3082
506.587718	88.0899
506.603097	79.6148
506.618475	83.2103
506.633854	90.1445
506.649233	92.7127
