Index	Centroid Mass	Lower Bound	Upper Bound	Charge (z)	Height	Relative Intensity	Area	S/N Ratio	Resolution	Isotope Cluster Area
317	2486.280518	2485.97	2486.76	1	23	0.21	198.32	18.44	8801.91	983.02
318	2489.276855	2488.96	2489.97	1	36	0.33	384.51	24.13	9243.95	891.43
319	2500.292725	2499.98	2500.91	1	55	0.51	592.76	53.68	8408.21	2588.13
320	2514.284180	2513.91	2514.79	1	15	0.14	119.81	10.09	9073.58	555.56
321	2544.308105	2543.97	2544.96	1	45	0.41	489.86	43.04	7998.07	2088.27
322	2557.335205	2556.85	2557.90	1	14	0.13	119.70	10.56	7096.78	688.84
323	2558.321533	2557.90	2558.95	1	27	0.25	292.54	14.43	7632.11	467.52
324	2562.341309	2562.04	2562.90	1	24	0.22	220.00	18.44	8186.70	769.28
325	2566.272217	2565.91	2566.91	1	38	0.34	327.66	36.73	10628.36	1402.83
326	2570.284424	2569.98	2570.76	1	24	0.22	191.19	13.17	9510.28	363.47
327	2571.308838	2570.97	2571.86	1	24	0.22	207.67	10.37	8697.01	236.13
328	2584.300537	2583.97	2584.76	1	24	0.22	207.69	22.43	8374.44	1022.06
329	2586.312500	2585.87	2586.97	1	58	0.53	634.43	48.05	8697.48	1671.01
330	2600.325684	2599.72	2600.99	1	2415	22.15	32705.89	2745.31	8087.27	122120.01
331	2614.336426	2614.01	2615.02	1	23	0.21	210.83	23.62	8471.77	1117.46
332	2616.323730	2615.91	2616.97	1	149	1.37	1472.67	171.71	9867.83	5736.15
333	2630.335205	2630.01	2631.02	1	28	0.25	294.45	28.41	7734.28	1294.26
334	2660.388916	2659.87	2661.08	1	20	0.19	199.13	13.90	9103.55	437.14
335	2674.390625	2674.03	2675.05	1	101	0.93	1227.20	134.46	8544.70	5430.86
336	2690.423096	2689.96	2691.01	1	22	0.20	216.73	15.15	7346.65	415.90
337	2731.434814	2730.95	2732.01	1	16	0.14	150.35	13.48	6747.86	586.55
