Centroid Mass	Relative Intensity
501.879855	14.9326
501.895153	20.4889
501.910450	20.4889
501.925749	24.6562
501.941047	25.0035
501.956345	29.1707
501.971644	32.6434
501.986943	35.0743
502.002243	25.698
502.017542	18.058
502.032842	16.669
502.048142	15.6272
502.063442	13.8908
502.078742	19.7944
502.094043	23.2671
502.109344	21.5308
502.124645	16.669
502.139946	23.6144
502.155248	21.5308
502.170550	20.4889
502.185852	23.2671
502.201154	23.2671
502.216457	33.3379
502.231759	48.6178
502.247062	55.216
502.262366	40.2833
502.277669	19.7944
502.292973	19.0999
502.308277	31.6016
502.323581	35.0743
502.338885	30.907
502.354190	24.3089
502.369495	12.1545
502.384800	16.3217
502.400105	26.7398
502.415411	30.907
502.430716	19.0999
502.446022	8.68175
502.461329	14.2381
502.476635	18.4053
502.491942	20.1417
502.507249	27.0871
502.522556	28.1289
502.537863	21.5307
502.553171	28.4762
502.568479	37.8524
502.583787	30.907
502.599095	13.8908
502.614404	6.25086
502.629713	9.37629
502.645022	8.33448
502.660331	7.98721
502.675641	12.849
502.690950	10.0708
502.706260	3.81997
502.721571	15.6272
502.736881	25.0035
502.752192	31.9489
502.767503	40.9779
502.782814	42.367
502.798125	35.0743
502.813437	19.0999
502.828749	16.669
502.844061	13.5435
502.859373	17.7108
502.874686	19.7944
502.889998	30.2125
502.905311	32.6434
502.920625	36.1161
502.935938	38.547
502.951252	25.0034
502.966566	25.3507
502.981880	28.4761
502.997194	27.4343
503.012509	25.0034
503.027824	32.2961
503.043139	36.8106
503.058454	37.1579
503.073770	19.7944
503.089086	17.3635
503.104402	17.7108
503.119718	19.7944
503.135035	38.547
503.150351	50.0069
503.165668	43.4088
503.180985	38.547
503.196303	28.4761
503.211621	37.8524
503.226938	36.8106
503.242257	31.2543
503.257575	25.0035
503.272894	24.6562
503.288212	19.7944
503.303532	22.2253
503.318851	25.698
503.334170	35.7688
503.349490	24.3089
503.364810	10.4181
503.380130	12.1545
503.395451	22.2253
503.410772	50.3542
503.426092	68.4122
503.441414	49.6596
503.456735	19.7944
503.472057	28.4762
503.487379	36.8106
503.502701	35.0743
503.518023	32.6434
503.533346	23.6144
503.548668	22.5726
503.563991	32.2961
503.579315	40.2833
503.594638	35.0743
503.609962	25.0035
503.625286	19.7944
503.640610	32.6434
503.655934	39.2415
503.671259	34.0325
503.686584	25.698
503.701909	15.6272
503.717235	15.6272
503.732560	25.698
503.747886	32.6434
503.763212	34.0325
503.778538	34.0325
503.793865	31.9489
503.809192	21.5308
503.824519	25.698
503.839846	31.6016
503.855173	52.0905
503.870501	64.9395
503.885829	48.2705
503.901157	28.1289
503.916485	7.29267
503.931814	19.7944
503.947143	36.8106
503.962472	45.4924
503.977801	28.1289
503.993131	36.1161
504.008461	56.9523
504.023791	57.6468
504.039121	43.756
504.054452	52.0905
504.069782	74.6631
504.085113	71.1904
504.100444	38.547
504.115776	17.0162
504.131108	23.6144
504.146439	42.7142
504.161772	41.3251
504.177104	27.0871
504.192436	25.0035
504.207769	23.2671
504.223102	48.9651
504.238436	78.483
504.253769	100.708
504.269103	83.6921
504.284437	57.2996
504.299771	35.7688
504.315106	31.9489
504.330440	47.9233
504.345775	66.6759
504.361110	62.5086
504.376446	44.7978
504.391781	42.7142
504.407117	36.8106
504.422453	52.7851
504.437790	63.2032
504.453126	42.7142
504.468463	19.7944
504.483800	13.8908
504.499137	25.0035
504.514475	35.0743
504.529812	30.2125
504.545150	13.1963
504.560489	15.6272
504.575827	23.2671
504.591166	28.4762
504.606505	31.9489
504.621844	42.0197
504.637183	54.5214
504.652523	48.9651
504.667862	42.7142
504.683202	34.0325
504.698543	17.0162
504.713883	20.1417
504.729224	16.669
504.744565	25.698
504.759906	34.727
504.775248	34.3797
504.790589	30.907
504.805931	20.8362
504.821273	24.3089
504.836616	25.698
504.851958	32.2961
504.867301	36.4634
504.882644	39.2415
504.897988	49.3124
504.913331	69.1068
504.928675	88.2066
504.944019	73.6213
504.959363	61.8141
504.974708	44.4506
504.990052	33.3379
505.005397	42.7142
505.020742	41.6724
505.036088	54.1741
505.051434	64.9395
505.066779	59.7305
505.082126	60.0777
505.097472	57.6468
505.112818	71.8849
505.128165	69.1068
505.143512	74.3158
505.158860	71.1904
505.174207	47.2287
505.189555	41.6724
505.204903	50.3542
505.220251	50.3542
505.235599	70.8431
505.250948	86.4703
505.266297	63.8977
505.281646	31.6016
505.296996	25.698
505.312345	23.9616
505.327695	43.4088
505.343045	57.9941
505.358395	62.8559
505.373746	68.0649
505.389097	61.4668
505.404448	54.5214
505.419799	52.0905
505.435150	39.5888
505.450502	34.0325
505.465854	45.4924
505.481206	44.4506
505.496559	40.6306
505.511911	31.9488
505.527264	22.2253
505.542617	30.2125
505.557971	47.2287
505.573324	49.6596
505.588678	41.3251
505.604032	40.2833
505.619386	48.9651
505.634741	41.6724
505.650095	26.7398
505.665450	16.669
505.680806	14.5853
505.696161	32.6434
505.711517	48.2705
505.726873	36.8106
505.742229	20.4889
505.757585	45.1451
505.772942	57.6468
505.788299	47.2287
505.803656	43.4088
505.819013	52.0905
505.834370	56.2578
505.849728	63.8977
505.865086	55.9105
505.880444	44.4506
505.895803	46.1869
